TS_PCODE,ST_PCODE,ST,DT_PCODE,DT,TS,Total,Electricity,Kerosene,Candle,Battery,Generator (private),Water mill (private),Solar system/energy,Other,Prop_Electricity,Prop_Kerosene,Prop_Candle,Prop_Battery,Prop_Generator_Private,Prop_Water_Mill_Private,Prop_Solar_System_Energy,Prop_Other
MMR001001,MMR001,Kachin,MMR001D001,Myitkyina,Myitkyina,52591,26777,102,11498,2020,3591,2220,6041,342,0.509155558936,0.00193949535092,0.218630564165,0.0384096138122,0.0682816451484,0.0422125458729,0.114867562891,0.00650301382366
MMR001002,MMR001,Kachin,MMR001D001,Myitkyina,Waingmaw,22860,2728,128,9604,739,1426,2580,5506,149,0.119335083115,0.00559930008749,0.420122484689,0.0323272090989,0.0623797025372,0.112860892388,0.240857392826,0.00651793525809
MMR001003,MMR001,Kachin,MMR001D001,Myitkyina,Injangyang,285,47,1,164,1,4,3,64,1,0.164912280702,0.00350877192982,0.575438596491,0.00350877192982,0.0140350877193,0.0105263157895,0.224561403509,0.00350877192982
MMR001004,MMR001,Kachin,MMR001D001,Myitkyina,Tanai,8528,1397,29,3487,467,1480,33,1615,20,0.163813320826,0.00340056285178,0.40888836773,0.0547607879925,0.173545966229,0.00386960600375,0.189376172608,0.00234521575985
MMR001005,MMR001,Kachin,MMR001D001,Myitkyina,Chipwi,3306,1117,4,1261,6,8,653,8,249,0.337870538415,0.00120992135511,0.381427707199,0.00181488203267,0.00241984271022,0.197519661222,0.00241984271022,0.0753176043557
MMR001006,MMR001,Kachin,MMR001D001,Myitkyina,Tsawlaw,1073,152,8,232,2,32,531,11,105,0.14165890028,0.00745573159366,0.216216216216,0.00186393289842,0.0298229263747,0.494874184529,0.0102516309413,0.0978564771668
MMR001007,MMR001,Kachin,MMR001D002,Mohnyin,Mohnyin,39622,11877,155,10618,1998,5662,668,8330,314,0.299757710363,0.00391196809853,0.267982434001,0.0504265307153,0.142900408864,0.0168593205795,0.210236737166,0.00792489021251
MMR001008,MMR001,Kachin,MMR001D002,Mohnyin,Mogaung,24898,10817,33,7050,519,2600,418,3361,100,0.434452566471,0.00132540766327,0.283155273516,0.020845047795,0.104426058318,0.016788497068,0.13499076231,0.00401638685838
MMR001009,MMR001,Kachin,MMR001D002,Mohnyin,Hpakant,36632,5346,60,7530,1129,16254,532,5567,214,0.145937977724,0.00163791220791,0.205557982092,0.0308200480454,0.443710417122,0.0145228215768,0.151970954357,0.00584188687486
MMR001010,MMR001,Kachin,MMR001D003,Bhamo,Bhamo,24161,9917,71,8280,595,1008,40,4183,67,0.410454865279,0.00293862009023,0.342701047142,0.0246264641364,0.0417201274782,0.00165556061421,0.173130251231,0.00277306402881
